task_id,arrival_time,size_bits,complexity,action,latency,energy
110,16.5854,7614.0,282.2,Local,0.564328,0.28216413
113,16.8248,9423.5,223.7,Local,0.447334,0.22366714
101,15.5617,5628.0,871.8,Local,1.74363,0.87181493
108,16.3492,8637.0,687.3,Local,1.374657,0.68732861
109,16.5082,5794.5,669.6,Local,1.339252,0.66962587
106,16.1814,3671.9,954.0,Local,1.907944,0.95397213
116,17.8682,6310.7,185.5,Local,0.371089,0.18554428
112,16.8104,1855.9,753.1,Local,1.506288,0.75314407
114,17.5816,8208.0,634.3,Local,1.268628,0.6343138
115,17.7448,8156.0,951.4,Local,1.902849,0.95142436
120,19.4694,9381.1,207.8,Local,0.41552,0.20776023
117,18.7613,2541.6,608.5,Local,1.216911,0.60845555
118,18.8591,5193.9,570.4,Local,1.140737,0.5703686
119,19.207,8193.2,542.9,Local,1.085876,0.54293789
124,19.7065,4277.7,383.0,Local,0.765992,0.38299598
121,19.56,1789.4,692.1,Local,1.384154,0.69207696
129,20.5711,9560.8,206.6,Local,0.413261,0.20663072
122,19.5982,7968.9,704.1,Local,1.408217,0.70410827
130,20.7517,6733.7,209.7,Local,0.419459,0.20972951
131,20.9499,7174.9,111.1,Local,0.222145,0.11107242
123,19.6205,9085.3,786.3,Local,1.572558,0.78627893
125,19.7408,2330.1,942.5,Local,1.885029,0.94251472
126,20.141,4449.9,756.7,Local,1.513434,0.75671714
132,21.0413,8428.6,365.8,Local,0.731646,0.36582312
134,21.5678,8031.6,199.5,Local,0.399059,0.19952957
127,20.365,9425.3,802.3,Local,1.604543,0.80227134
135,21.6393,8532.1,195.8,Local,0.391555,0.19577758
133,21.5109,4980.8,371.7,Local,0.743469,0.37173465
137,21.9453,3167.5,228.7,Local,0.457439,0.22871969
128,20.446,4387.2,988.0,Local,1.975937,0.98796839
139,22.6709,1325.5,104.9,Local,0.209774,0.10488685
141,22.7583,8644.7,151.5,Local,0.303017,0.15150875
143,23.3937,8541.8,136.1,Local,0.272272,0.13613617
136,21.9354,1814.0,907.3,Local,1.81466,0.90733006
138,22.3078,2783.8,919.6,Local,1.839149,0.9195744
140,22.6992,6453.3,821.3,Local,1.642667,0.82133363
146,23.9453,7611.6,273.7,Local,0.547475,0.27373734
142,23.0186,9350.2,794.9,Local,1.589795,0.79489756
144,23.5311,2124.3,554.1,Local,1.108156,0.55407789
150,24.3522,1825.5,265.2,Local,0.53036,0.26517991
148,24.2719,1490.5,654.7,Local,1.309356,0.65467807
152,25.1487,6151.7,230.6,Local,0.461234,0.23061723
145,23.9033,6670.1,866.0,Local,1.732036,0.86601799
149,24.2931,8957.3,738.6,Local,1.477241,0.73862046
147,24.1927,7389.1,982.2,Local,1.964369,0.98218431
151,24.5841,5127.0,805.7,Local,1.611346,0.80567285
156,25.7953,2073.0,220.7,Local,0.44137,0.22068515
155,25.752,5575.2,463.6,Local,0.927262,0.46363095
157,25.8001,3742.3,485.1,Local,0.970226,0.48511289
158,25.9702,6711.7,470.6,Local,0.94126,0.47062981
153,25.6881,3712.1,620.2,Local,1.240431,0.62021549
160,26.2854,1324.5,476.6,Local,0.95312,0.47656004
169,26.9713,8577.9,150.0,Local,0.300022,0.15001113
171,27.106,7684.2,113.2,Local,0.226429,0.11321456
168,26.968,5447.3,204.3,Local,0.408542,0.20427105
159,26.1519,2958.7,629.5,Local,1.258951,0.62947562
170,27.004,4007.2,255.7,Local,0.51139,0.255695
167,26.7715,8198.8,383.0,Local,0.766011,0.38300562
161,26.3286,3030.3,615.2,Local,1.230424,0.61521214
154,25.7398,6843.1,946.5,Local,1.89307,0.94653497
162,26.3385,7318.0,683.2,Local,1.366307,0.68315363
164,26.4087,4882.8,663.4,Local,1.326822,0.66341123
166,26.6523,9289.5,553.3,Local,1.106539,0.55326963
173,27.5426,6407.6,207.7,Local,0.415411,0.2077053
