task_id,arrival_time,size_bits,complexity,action,latency,energy
105,16.0814,3947.5,441.5,Cloud,0.095193,0.00014265
106,16.1814,3671.9,954.0,Cloud,0.112241,0.00013269
107,16.2491,5328.2,395.5,Cloud,0.093826,0.00019255
108,16.3492,8637.0,687.3,Edge,0.091956,0.00031212
97,14.6606,1467.7,932.4,Local,1.864715,0.93235768
109,16.5082,5794.5,669.6,Edge,0.089401,0.0002094
110,16.5854,7614.0,282.2,Cloud,0.090323,0.00027515
104,15.9104,3093.1,430.8,Local,0.861521,0.43076063
112,16.8104,1855.9,753.1,Cloud,0.105328,6.707e-05
113,16.8248,9423.5,223.7,Edge,0.034094,0.00034054
102,15.6896,4465.8,675.6,Local,1.351214,0.67560694
111,16.6249,8746.5,218.9,Local,0.437785,0.21889255
114,17.5816,8208.0,634.3,Edge,0.085278,0.00029661
115,17.7448,8156.0,951.4,Edge,0.12491,0.00029474
116,17.8682,6310.7,185.5,Edge,0.028953,0.00022805
122,19.5982,7968.9,704.1,Cloud,0.10443,0.00028797
121,19.56,1789.4,692.1,Edge,0.091725,6.466e-05
123,19.6205,9085.3,786.3,Edge,0.130428,0.00032832
125,19.7408,2330.1,942.5,Cloud,0.111698,8.42e-05
124,19.7065,4277.7,383.0,Edge,0.091725,0.00015459
120,19.4694,9381.1,207.8,Local,0.41552,0.20776023
117,18.7613,2541.6,608.5,Local,1.216911,0.60845555
118,18.8591,5193.9,570.4,Local,1.140737,0.5703686
126,20.141,4449.9,756.7,Edge,0.100126,0.00016081
119,19.207,8193.2,542.9,Local,1.085876,0.54293789
128,20.446,4387.2,988.0,Cloud,0.113461,0.00015854
129,20.5711,9560.8,206.6,Edge,0.031981,0.0003455
130,20.7517,6733.7,209.7,Edge,0.032027,0.00024334
131,20.9499,7174.9,111.1,Edge,0.019748,0.00025928
132,21.0413,8428.6,365.8,Edge,0.051743,0.00030459
134,21.5678,8031.6,199.5,Edge,0.030909,0.00029024
135,21.6393,8532.1,195.8,Cloud,0.087554,0.00030833
127,20.365,9425.3,802.3,Local,1.604543,0.80227134
137,21.9453,3167.5,228.7,Edge,0.033972,0.00011446
133,21.5109,4980.8,371.7,Local,0.743469,0.37173465
139,22.6709,1325.5,104.9,Edge,0.018271,4.79e-05
141,22.7583,8644.7,151.5,Cloud,0.086092,0.00031239
140,22.6992,6453.3,821.3,Edge,0.108444,0.00023321
144,23.5311,2124.3,554.1,Edge,0.074516,7.677e-05
143,23.3937,8541.8,136.1,Local,0.272272,0.13613617
136,21.9354,1814.0,907.3,Local,1.81466,0.90733006
145,23.9033,6670.1,866.0,Cloud,0.109671,0.00024104
146,23.9453,7611.6,273.7,Cloud,0.090041,0.00027506
138,22.3078,2783.8,919.6,Local,1.839149,0.9195744
149,24.2931,8957.3,738.6,Cloud,0.1057,0.00032369
142,23.0186,9350.2,794.9,Local,1.589795,0.79489756
151,24.5841,5127.0,805.7,Cloud,0.107473,0.00018528
150,24.3522,1825.5,265.2,Local,0.53036,0.26517991
148,24.2719,1490.5,654.7,Local,1.309356,0.65467807
152,25.1487,6151.7,230.6,Local,0.461234,0.23061723
153,25.6881,3712.1,620.2,Cloud,0.101121,0.00013414
155,25.752,5575.2,463.6,Edge,0.063625,0.00020147
156,25.7953,2073.0,220.7,Edge,0.047575,7.491e-05
158,25.9702,6711.7,470.6,Edge,0.064637,0.00024254
147,24.1927,7389.1,982.2,Local,1.964369,0.98218431
159,26.1519,2958.7,629.5,Edge,0.084041,0.00010692
160,26.2854,1324.5,476.6,Cloud,0.096045,4.787e-05
161,26.3286,3030.3,615.2,Cloud,0.100872,0.00010951
162,26.3385,7318.0,683.2,Edge,0.091276,0.00026445
163,26.3564,3845.9,808.7,Edge,0.173988,0.00013898
164,26.4087,4882.8,663.4,Edge,0.204754,0.00017645
166,26.6523,9289.5,553.3,Cloud,0.099561,0.0003357
165,26.6209,5614.7,763.0,Edge,0.101056,0.0002029
157,25.8001,3742.3,485.1,Local,0.970226,0.48511289
169,26.9713,8577.9,150.0,Edge,0.024785,0.00030998
171,27.106,7684.2,113.2,Local,0.226429,0.11321456
168,26.968,5447.3,204.3,Local,0.408542,0.20427105
170,27.004,4007.2,255.7,Local,0.51139,0.255695
167,26.7715,8198.8,383.0,Local,0.766011,0.38300562
173,27.5426,6407.6,207.7,Cloud,0.087695,0.00023155
154,25.7398,6843.1,946.5,Local,1.89307,0.94653497
174,27.7048,9625.9,995.9,Cloud,0.114357,0.00034785
175,28.1496,3798.7,718.9,Cloud,0.104421,0.00013727
172,27.4737,8708.9,435.0,Local,0.870071,0.43503542
177,28.3426,2881.5,572.6,Cloud,0.099433,0.00010413
176,28.3401,4490.6,676.8,Edge,0.090141,0.00016228
179,28.4967,9912.9,227.4,Cloud,0.088775,0.00035822
180,28.5902,4533.2,172.0,Edge,0.027052,0.00016382
181,28.7519,4904.0,522.4,Cloud,0.098004,0.00017722
183,28.7981,3095.7,362.9,Edge,0.05073,0.00011187
184,28.8477,6278.0,544.0,Cloud,0.098888,0.00022687
185,28.8794,3193.0,859.2,Edge,0.112788,0.00011539
186,29.0123,6842.3,703.2,Edge,0.093722,0.00024726
188,29.2217,4046.1,860.0,Edge,0.112991,0.00014622
187,29.1112,1523.0,429.9,Local,0.859895,0.42994755
178,28.3973,2493.2,852.7,Local,1.705348,0.85267386
191,30.2427,4065.3,548.9,Cloud,0.098788,0.00014691
192,30.3192,1944.8,458.7,Edge,0.062571,7.028e-05
182,28.7902,2628.3,916.4,Local,1.832787,0.91639326
193,30.7509,6677.5,259.8,Edge,0.038274,0.00024131
194,30.9173,2724.4,122.3,Edge,0.020621,9.845e-05
190,29.9182,9186.0,628.4,Local,1.256823,0.62841155
189,29.4415,7917.6,866.8,Local,1.733628,0.86681397
195,31.6098,5033.9,376.8,Cloud,0.093166,0.00018191
197,31.9671,6703.9,983.6,Edge,0.128761,0.00024226
200,32.3397,8801.2,202.7,Cloud,0.087817,0.00031805
199,32.2501,7486.3,966.9,Edge,0.126763,0.00027053
196,31.6928,1065.8,350.2,Local,0.70044,0.3502199
201,32.4912,4960.8,597.8,Edge,0.080322,0.00017927
202,32.799,9728.3,986.1,Cloud,0.114043,0.00035155
203,32.9313,7603.8,775.0,Edge,0.102789,0.00027478
204,33.0542,2114.8,136.9,Cloud,0.084816,7.642e-05
198,32.0797,5297.6,785.3,Local,1.570579,0.78528931
205,33.709,5407.3,987.0,Edge,0.129025,0.0001954
207,34.4887,1763.4,599.9,Cloud,0.10021,6.372e-05
208,34.6846,9322.3,840.3,Cloud,0.109134,0.00033688
210,34.7042,7077.8,741.9,Cloud,0.105584,0.00025577
209,34.6915,4354.3,143.8,Local,0.287657,0.14382863
212,35.1207,1440.7,311.1,Cloud,0.090543,5.206e-05
213,35.1593,8723.1,104.1,Cloud,0.084519,0.00031523
206,34.383,9801.3,470.4,Local,0.940837,0.4704184
214,35.3339,7095.6,126.6,Edge,0.021686,0.00025641
215,35.7673,9060.7,704.5,Cloud,0.104573,0.00032743
211,34.9668,8789.1,765.5,Local,1.530977,0.76548832
219,36.534,1763.3,407.7,Edge,0.056179,6.372e-05
216,35.795,8675.0,413.2,Local,0.826457,0.41322828
220,36.6361,8266.9,998.9,Cloud,0.114291,0.00029874
222,37.3362,9978.2,730.8,Edge,0.097551,0.00036059
221,37.0657,4671.5,223.1,Local,0.446278,0.22313915
217,36.3026,3690.5,631.3,Local,1.262576,0.63128823
223,37.8983,4531.3,923.8,Cloud,0.111338,0.00016375
225,38.0562,2817.8,115.9,Cloud,0.084203,0.00010183
218,36.3569,3473.4,897.9,Local,1.795804,0.89790181
227,38.1574,9632.9,776.8,Cloud,0.107053,0.00034811
228,38.3959,3560.9,907.3,Edge,0.118841,0.00012868
229,38.4566,3928.1,918.2,Edge,0.172996,0.00014195
224,37.9966,2209.3,428.8,Local,0.857681,0.42884062
231,38.8774,3694.4,317.2,Edge,0.045099,0.00013351
226,38.1124,6710.9,409.0,Local,0.817926,0.40896322
232,38.9365,2399.0,886.9,Cloud,0.109852,8.669e-05
234,39.0327,4945.5,528.6,Cloud,0.098217,0.00017872
235,39.1616,9123.0,808.8,Edge,0.107203,0.00032968
236,39.2812,6059.5,191.7,Cloud,0.08712,0.00021897
237,39.556,9598.1,561.5,Edge,0.076339,0.00034685
238,39.8193,1322.6,963.8,Edge,0.125634,4.779e-05
230,38.6829,7680.9,631.7,Local,1.263341,0.63167031
240,39.8398,5096.1,564.5,Edge,0.176144,0.00018416
242,40.0566,1544.8,728.4,Edge,0.096232,5.582e-05
244,40.1695,1014.9,200.9,Edge,0.03023,3.668e-05
241,40.0162,1458.6,200.4,Local,0.400881,0.20044033
245,40.3686,1011.1,557.4,Edge,0.074791,3.654e-05
239,39.8307,1369.7,321.5,Local,0.64292,0.32145995
233,38.9533,6053.4,812.8,Local,1.625554,0.81277698
247,40.79,8570.8,334.3,Cloud,0.092176,0.00030973
248,40.8152,3182.3,531.9,Edge,0.071868,0.000115
249,40.9124,3054.3,397.7,Cloud,0.093623,0.00011037
243,40.1368,3718.6,454.7,Local,0.909426,0.4547132
252,41.2055,9269.4,108.3,Edge,0.019658,0.00033497
251,41.0942,2354.1,142.6,Local,0.285273,0.14263662
246,40.4854,3997.8,488.2,Local,0.976389,0.48819432
253,41.2177,1281.6,199.6,Local,0.399133,0.19956652
255,41.8037,8644.9,104.3,Edge,0.019075,0.0003124
250,40.979,1437.1,514.7,Local,1.029385,0.51469264
256,41.8397,6572.1,246.5,Local,0.492938,0.24646914
257,42.5255,8699.4,328.8,Cloud,0.092009,0.00031437
254,41.3839,3174.8,612.3,Local,1.224582,0.61229085
260,43.3537,6406.6,294.7,Edge,0.042612,0.00023152
261,43.437,3858.7,170.3,Cloud,0.086141,0.00013944
262,43.4388,4118.3,117.1,Local,0.234261,0.11713073
259,42.9399,8318.4,386.6,Local,0.773118,0.38655921
264,43.8812,3854.4,901.0,Cloud,0.110498,0.00013929
265,44.0727,2134.2,229.3,Cloud,0.087902,7.713e-05
258,42.8585,5090.1,643.1,Local,1.286164,0.64308201
266,44.253,2556.5,556.6,Edge,0.074878,9.238e-05
267,44.4914,1036.1,114.9,Edge,0.01949,3.744e-05
268,44.8164,2142.2,907.6,Edge,0.118705,7.741e-05
263,43.4805,7526.6,737.3,Local,1.474564,0.73728211
269,45.0727,5825.8,659.6,Edge,0.088153,0.00021053
270,45.1014,1454.7,635.1,Edge,0.138302,5.257e-05
272,45.1255,6361.4,308.2,Local,0.616305,0.30815249
274,45.7572,4565.5,709.9,Cloud,0.104212,0.00016498
275,45.8057,6102.4,782.6,Edge,0.103558,0.00022053
276,46.0441,4773.5,563.1,Edge,0.075966,0.0001725
277,46.0473,8164.3,568.2,Edge,0.144133,0.00029503
278,46.391,1846.6,900.7,Cloud,0.110245,6.673e-05
273,45.1595,3283.0,649.7,Local,1.299386,0.64969312
271,45.1189,6972.6,852.6,Local,1.705241,0.85262066
279,46.4977,7143.2,234.4,Local,0.468873,0.23443674
280,46.7382,2606.0,279.6,Local,0.559176,0.27958779
283,48.5388,5653.2,767.5,Cloud,0.106266,0.00020429
281,47.9833,9213.2,290.9,Local,0.581865,0.29093267
282,48.5268,7601.5,890.5,Edge,0.117232,0.0002747
